	S7	S8	S9	S10
dre-mir-9-7-3p	5025	1788	2534	842
dre-mir-133b-3p	4901	1569	1196	1642
dre-mir-125b-1-3p	4896	1427	1025	803
dre-mir-2188-3p	4835	1932	1194	756
dre-mir-735-5p	4880	1379	1244	965
dre-mir-27c-2-3p	4653	1698	1475	1255
dre-mir-15c-5p	4596	1650	1106	1175
dre-mir-206-1-5p	4391	1603	1125	1479
dre-let-7e-5p	4502	1702	511	394
dre-mir-16a-3p	4301	1265	1031	827
dre-mir-430a-8-5p	4089	1336	1894	3207
dre-mir-199-3-3p	4053	1336	1514	1044
dre-mir-18a-5p	4008	1483	1191	1421
dre-mir-26b-5p	3919	1422	1220	1145
dre-mir-196d-5p	4055	1288	996	1143
dre-mir-130b-3p	3857	1322	1148	1282
dre-mir-223-3p	3831	1327	1096	895
dre-mir-30c-3p	3857	1405	1216	960
dre-mir-196a-1-3p	3797	1334	1028	1144
dre-let-7i-5p	3715	989	806	821
dre-mir-101a-3p	3711	1532	1659	1317
dre-mir-16a-5p	3475	1223	883	1211
dre-mir-10b-2-3p	3341	1185	911	1069
dre-mir-10d-3p	3382	956	853	659
dre-mir-15b-3p	3395	1204	806	1042
dre-mir-724-5p	3274	797	969	514
dre-mir-126b-3p	3330	1262	982	1052
dre-mir-129-2-5p	3308	840	920	390
dre-mir-203b-5p	3320	1283	695	1008
dre-mir-125a-2-5p	3292	929	1380	593
dre-mir-725-1-5p	3246	956	820	652
dre-mir-133c-3p	3203	994	534	782
dre-mir-124-6-5p	3160	927	697	756
dre-mir-219-3-5p	3186	1304	842	1204
dre-mir-145-3p	3172	839	786	533
dre-mir-214-3p	3098	1054	1253	926
dre-mir-430c-5-5p	2736	1068	710	1084
dre-mir-128-1-5p	2626	807	756	589
dre-mir-10c-3p	2642	851	686	743
dre-mir-92b-5p	2462	702	630	817
dre-mir-23a-1-3p	2484	821	720	499
dre-mir-194a-5p	2477	887	669	802
dre-mir-125c-3p	2420	789	644	416
dre-mir-27c-2-5p	2301	710	583	679
dre-mir-148-5p	2260	774	747	768
dre-mir-25-5p	2187	761	423	510
dre-mir-99-2-3p	1598	2212	295	216
dre-mir-133c-5p	2097	675	413	564
dre-let-7c-2-5p	2027	652	519	343
dre-mir-27d-3p	2099	539	557	428
dre-mir-10b-1-3p	2046	557	485	499
dre-mir-7b-3p	2053	606	371	423
dre-mir-196b-3p	2054	737	640	777
dre-mir-457a-5p	1961	769	540	657
dre-mir-22a-5p	1930	612	404	415
dre-mir-99-1-5p	1893	575	603	422
dre-mir-200c-5p	1909	627	370	313
dre-mir-135c-1-5p	1897	544	458	404
dre-mir-196a-2-3p	1877	610	508	575
dre-mir-101b-3p	1858	808	631	962
dre-mir-20a-3p	1747	653	405	605
dre-mir-181c-3p	1755	690	470	382
dre-mir-92a-2-3p	1738	636	390	562
dre-mir-181b-2-3p	1732	601	409	407
dre-mir-219-1-3p	1688	611	327	349
dre-mir-18a-3p	1679	626	387	577
dre-mir-7148-5p	1662	445	369	338
dre-mir-153b-5p	1628	616	401	455
dre-mir-27e-3p	1642	488	510	417
dre-mir-18c-3p	1609	479	343	322
dre-mir-732-3p	1581	543	368	180
dre-mir-301a-3p	1551	443	511	537
dre-mir-30b-3p	1532	470	443	373
dre-mir-122-5p	1530	305	357	168
dre-mir-126b-5p	1513	492	315	413
dre-mir-107a-3p	1486	647	376	453
dre-let-7j-5p	1444	425	279	231
dre-mir-22b-3p	1438	398	429	378
dre-mir-125b-2-3p	1415	408	323	332
dre-mir-210-5p	1219	245	1365	116
dre-mir-218b-5p	1357	512	590	369
dre-mir-7146-3p	1327	467	432	625
dre-mir-130a-3p	1365	438	365	369
dre-mir-93-3p	1298	439	280	368
dre-mir-125c-5p	1266	419	466	268
dre-mir-34a-5p	1280	614	284	320
dre-mir-1-1-3p	1289	347	541	199
dre-mir-27b-5p	1292	407	255	292
dre-mir-26a-3-5p	1217	316	357	340
dre-mir-216a-3p	1217	421	382	289
dre-mir-187-1-3p	1158	379	342	159
dre-mir-219-2-5p	1166	466	291	437
dre-mir-155-5p	1145	558	343	332
dre-mir-15b-5p	1135	327	335	340
dre-mir-19b-5p	1096	424	255	338
dre-mir-27a-3p	1067	405	305	350
dre-mir-130a-5p	1021	286	233	213
dre-mir-107b-3p	1015	285	181	263
dre-mir-182-3p	998	616	266	231
dre-mir-130c-1-3p	1027	308	290	301
dre-mir-150-5p	932	289	310	339
dre-mir-454b-5p	940	346	260	331
dre-mir-200b-5p	921	304	238	196
dre-mir-31-5p	928	374	199	230
dre-mir-153c-3p	916	398	419	265
dre-mir-192-3p	877	317	205	240
dre-mir-451-5p	886	257	210	110
dre-mir-124-4-5p	840	293	263	183
dre-mir-137-3-5p	823	244	154	162
dre-mir-214-5p	806	308	249	194
dre-mir-223-5p	824	300	166	155
dre-mir-146a-3p	834	349	231	163
dre-mir-92a-2-5p	814	272	189	233
dre-mir-457b-3p	793	259	199	271
dre-mir-34a-3p	747	267	197	170
dre-mir-124-1-3p	746	286	251	247
dre-mir-457b-5p	770	341	216	302
dre-mir-429b-3p	742	282	221	201
dre-mir-20b-3p	744	279	190	267
dre-mir-455-2-5p	671	248	228	205
dre-mir-457a-3p	683	291	160	195
dre-mir-125a-1-3p	694	229	191	112
dre-mir-16b-3p	670	195	163	199
dre-mir-730-5p	691	203	119	205
dre-mir-205-3p	661	245	138	179
dre-mir-17a-2-3p	634	231	139	195
dre-mir-132-2-5p	591	140	175	70
dre-mir-184-1-5p	565	164	127	124
dre-mir-455-1-5p	573	301	304	250
dre-mir-738-5p	595	253	38	73
dre-mir-454a-5p	595	208	142	203
dre-mir-133b-5p	586	211	173	227
dre-let-7c-2-3p	589	223	86	55
dre-let-7a-1-3p	563	141	65	82
dre-mir-193b-3p	561	216	195	125
dre-mir-18b-5p	545	203	123	178
dre-mir-2185-3-5p	545	167	203	109
dre-mir-194a-3p	498	113	141	110
dre-mir-145-5p	524	135	121	99
dre-mir-216a-5p	515	199	198	141
dre-let-7f-5p	516	155	87	93
dre-mir-24-3-5p	492	223	139	154
dre-mir-338-1-5p	510	177	152	116
dre-mir-181b-1-3p	469	167	112	101
dre-mir-141-5p	470	158	111	116
dre-mir-26a-2-3p	472	155	137	123
dre-mir-19d-5p	454	163	108	108
dre-mir-733-5p	447	101	43	48
dre-mir-204-2-3p	459	149	144	132
dre-mir-153c-5p	436	144	98	105
dre-mir-23a-3-3p	449	119	129	122
dre-mir-455-2-3p	420	172	152	220
dre-mir-210-3p	294	78	437	52
dre-mir-139-3p	416	113	92	51
dre-mir-21-1-3p	421	291	117	372
dre-mir-365-3-3p	413	121	97	58
dre-mir-96-3p	403	127	81	112
dre-mir-142a-3p	402	122	102	88
dre-mir-301c-3p	401	163	142	168
dre-mir-23a-2-3p	363	134	118	81
dre-mir-462-5p	370	119	104	77
dre-mir-153a-3p	358	171	151	145
dre-mir-187-1-5p	338	117	75	47
dre-mir-489-3p	357	93	55	66
dre-mir-2188-5p	324	107	72	49
dre-mir-723-3p	336	122	125	66
dre-mir-19c-5p	339	137	77	104
dre-mir-737-5p	288	76	63	65
dre-mir-15a-2-5p	332	99	88	105
dre-mir-7145-3p	303	130	87	106
dre-mir-727-3p	319	78	111	66
dre-mir-137-3-3p	315	116	118	97
dre-mir-203a-5p	285	106	53	68
dre-mir-152-5p	305	105	96	95
dre-mir-740-3p	304	127	102	54
dre-mir-1-1-5p	266	104	54	58
dre-mir-735-3p	275	90	55	49
dre-mir-153a-5p	252	106	63	65
dre-mir-34b-5p	257	66	67	47
dre-mir-217-3p	250	87	41	60
dre-mir-34c-5p	258	81	49	30
dre-mir-1388-5p	244	87	62	41
dre-mir-18b-3p	224	84	41	73
dre-mir-138-5p	249	97	69	61
dre-mir-734-3p	245	71	63	32
dre-mir-726-3p	234	98	39	38
dre-mir-143-1-5p	214	66	79	65
dre-mir-727-5p	190	70	41	53
dre-mir-138-3p	199	45	55	48
dre-mir-212-5p	212	45	59	52
dre-let-7d-1-5p	205	67	76	31
dre-mir-26b-3p	176	60	51	45
dre-mir-301b-3p	203	93	81	87
dre-mir-100-1-3p	185	77	53	44
dre-mir-34c-3p	192	55	41	31
dre-mir-129-2-3p	187	47	24	40
dre-mir-301a-5p	178	52	38	70
dre-let-7a-2-3p	184	66	34	17
dre-mir-26a-3-3p	182	43	27	42
dre-mir-202-5p	173	86	109	27
dre-mir-194b-3p	166	29	38	20
dre-mir-101b-5p	160	56	63	76
dre-mir-338-2-5p	159	57	57	32
dre-mir-22b-5p	154	54	36	34
dre-mir-144-3p	145	60	29	28
dre-mir-737-3p	150	52	32	44
dre-mir-135a-5p	138	27	46	39
dre-mir-27d-5p	139	41	29	27
dre-mir-196d-3p	152	79	61	50
dre-mir-190b-5p	139	53	11	21
dre-mir-124-1-5p	146	42	32	34
dre-mir-199-1-5p	133	43	41	21
